text,optionA,optionB,optionC,optionD,correctIndex,category,categoryId,subCategory,difficulty,explanation,roast,imageUrl
What animal's fingerprints are so similar to humans that they can confuse forensic teams?,Koala,Panda,Sloth,Seal,0,Fun Facts,fun-facts,brainy-bites,easy,Koala fingerprints are surprisingly close to human fingerprints in pattern and shape.,"That was not unbearable, but it was wrong.",
Which planet in our solar system has a day longer than its year?,Mercury,Venus,Mars,Saturn,1,Fun Facts,fun-facts,brainy-bites,medium,Venus rotates so slowly that one full spin takes longer than one orbit around the Sun.,"Space facts were available, but not selected.",
Bananas are naturally slightly what?,Magnetic,Radioactive,Blue under sunlight,Salted,1,Fun Facts,fun-facts,strange-world,easy,"Bananas contain potassium, including a small amount of radioactive potassium-40.",The fruit aisle is disappointed in you.,
Which civilization built the pyramids of Giza?,Romans,Ancient Egyptians,Vikings,Mongols,1,History,history,ancient,easy,The Great Pyramids at Giza were built in Ancient Egypt during the Old Kingdom.,Not quite. The Nile is judging you.,
Who was the first Emperor of Rome?,Julius Caesar,Augustus,Nero,Constantine,1,History,history,ancient,easy,Augustus became the first Roman Emperor in 27 BCE.,"Et tu, wrong answer?",
Which event is commonly considered the start of World War I?,Invasion of Poland,Assassination of Archduke Franz Ferdinand,Pearl Harbor,Fall of the Berlin Wall,1,History,history,world-wars,easy,The assassination in 1914 triggered a chain of alliances and declarations of war.,History called. It wants its date back.,
What was the codename for the Allied invasion of Normandy in 1944?,Operation Barbarossa,Operation Overlord,Operation Torch,Operation Market Garden,1,History,history,world-wars,medium,Operation Overlord included D-Day and the Battle of Normandy.,That guess did not land on the beaches.,
"Who is famous for the quote ""I came, I saw, I conquered""?",Alexander the Great,Julius Caesar,Napoleon,Genghis Khan,1,History,history,famous-figures,easy,"Julius Caesar used the Latin phrase ""Veni, vidi, vici"".","Veni, vidi... you missed it.",
What is the capital city of Japan?,Kyoto,Seoul,Tokyo,Osaka,2,Geography,geography,capitals,easy,Tokyo is the capital and largest city of Japan.,The map was right there.,
What is the capital city of Brazil?,Rio de Janeiro,Brasilia,Sao Paulo,Salvador,1,Geography,geography,capitals,medium,Brasilia became the capital of Brazil in 1960.,That answer took a detour.,
Which landmark sits on the border of Ontario and New York State?,Victoria Falls,Niagara Falls,Angel Falls,Iguazu Falls,1,Geography,geography,landmarks,easy,Niagara Falls lies between Canada and the United States.,You really let that one slip.,
What is 15 x 6?,80,85,90,96,2,Maths,maths,mental-math,easy,15 multiplied by 6 equals 90.,The numbers tried to help. They were ignored.,
"If a shirt costs $40 and is discounted by 25%, what is the sale price?",$10,$25,$30,$35,2,Maths,maths,mental-math,medium,"25% of $40 is $10, so the discounted price is $30.",Your calculator would like a word.,
"What number comes next: 2, 6, 12, 20, 30, ?",36,40,42,44,2,Maths,maths,number-patterns,medium,"The differences are +4, +6, +8, +10, so the next increase is +12, giving 42.",Pattern recognition has left the chat.,
A farmer has 17 sheep and all but 9 run away. How many are left?,8,9,17,0,1,Puzzles,puzzles,logic,easy,"""All but 9"" means 9 sheep remain.",The sheep survived. The logic did not.,
What gets wetter the more it dries?,A sponge,A towel,Rain,Soap,1,Puzzles,puzzles,riddles,easy,A towel gets wetter as it dries other things.,Classic riddle. Ruthless result.,
"You see me once in June, twice in November, and not at all in May. What am I?",The moon,The letter E,Rain,A holiday,1,Puzzles,puzzles,riddles,medium,"The letter E appears once in June, twice in November, and not at all in May.",The alphabet carried the clue. Still no luck.,
Which country is currently a permanent member of the UN Security Council?,Germany,Japan,India,France,3,Geopolitics,geopolitics,world-powers,easy,France is one of the five permanent members of the UN Security Council.,Diplomacy has filed a complaint.,
NATO is best described as what kind of organization?,Trade union,Military alliance,Human rights court,Climate panel,1,Geopolitics,geopolitics,world-powers,easy,NATO is a military alliance formed for collective defense.,That alliance did not include your answer.,
A ceasefire usually means what?,A permanent peace treaty,A temporary stop to fighting,A military victory,A trade embargo,1,Geopolitics,geopolitics,global-conflicts,easy,"A ceasefire is an agreed pause or stop in fighting, often temporary.",Geopolitical vocabulary is undefeated tonight.,
Which gas do plants absorb from the atmosphere during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Helium,1,Fun Facts,fun-facts,brainy-bites,easy,Plants use carbon dioxide during photosynthesis.,The greenhouse would like a rematch.,
What color is the black box on most airplanes?,Black,Silver,Orange,Blue,2,Fun Facts,fun-facts,brainy-bites,easy,Flight recorders are usually bright orange to help investigators find them.,Aviation safety tried to help you there.,
Which animal can sleep for around 20 hours a day?,Horse,Koala,Wolf,Dolphin,1,Fun Facts,fun-facts,brainy-bites,easy,Koalas are famous for sleeping most of the day.,That answer needed a nap.,
What is the only continent with land in all four hemispheres?,Asia,Africa,South America,Europe,1,Fun Facts,fun-facts,brainy-bites,medium,Africa crosses both the Equator and the prime meridian.,The globe spun and you still missed it.,
Which metal is liquid at room temperature?,Gold,Mercury,Iron,Aluminum,1,Fun Facts,fun-facts,brainy-bites,easy,Mercury is liquid at standard room temperature.,Chemistry is shaking its head.,
Which bird is known for being able to mimic human speech best?,Crow,Parrot,Eagle,Penguin,1,Fun Facts,fun-facts,brainy-bites,easy,Parrots are famous for their ability to imitate sounds and speech.,The bird had the line and you dropped it.,
How many hearts does an octopus have?,One,Two,Three,Four,2,Fun Facts,fun-facts,strange-world,easy,An octopus has three hearts and blue blood.,Marine biology remains undefeated.,
What is the largest organ in the human body?,Liver,Lung,Skin,Brain,2,Fun Facts,fun-facts,strange-world,easy,Skin is the body's largest organ.,The anatomy chart was right there.,
Which country has the most natural lakes in the world?,Canada,Russia,Brazil,Sweden,0,Fun Facts,fun-facts,strange-world,medium,Canada has more lakes than most other countries combined.,That guess drifted off course.,
Which planet has the largest volcano in the solar system?,Earth,Jupiter,Mars,Neptune,2,Fun Facts,fun-facts,strange-world,medium,Olympus Mons on Mars is the largest known volcano in the solar system.,Space geography was not amused.,
What do you call a group of flamingos?,A pod,A flock,A flamboyance,A squad,2,Fun Facts,fun-facts,strange-world,medium,A group of flamingos is commonly called a flamboyance.,That answer lacked flair.,
Which mammal is capable of true flight?,Flying squirrel,Bat,Sugar glider,Ostrich,1,Fun Facts,fun-facts,strange-world,easy,Bats are the only mammals capable of sustained true flight.,Nature filed a correction.,
Which famous clock tower houses the bell nicknamed Big Ben?,Eiffel Tower,Elizabeth Tower,Leaning Tower of Pisa,Tokyo Tower,1,Fun Facts,fun-facts,strange-world,medium,Big Ben is the nickname for the great bell in London's Elizabeth Tower.,Tourism points deducted.,
Which scientist developed the theory of general relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,1,Fun Facts,fun-facts,brainy-bites,easy,Albert Einstein published the theory of general relativity.,Physics bent around that mistake.,
The Rosetta Stone helped scholars decode which ancient writing system?,Cuneiform,Hieroglyphics,Runes,Sanskrit,1,History,history,ancient,medium,The Rosetta Stone was key to deciphering Egyptian hieroglyphics.,Ancient scribes are unimpressed.,
Which city is often called the cradle of democracy?,Sparta,Athens,Alexandria,Rome,1,History,history,ancient,easy,Athens is widely associated with the development of early democracy.,The philosophers expected more.,
Hannibal famously crossed which mountain range with elephants?,Andes,Alps,Pyrenees,Himalayas,1,History,history,ancient,easy,Hannibal crossed the Alps during the Second Punic War.,That campaign turned the wrong way.,
Which river was central to the development of ancient Egyptian civilization?,Amazon,Nile,Danube,Yangtze,1,History,history,ancient,easy,The Nile shaped Egyptian farming transport and settlement.,The floodplains remember this mistake.,
Who wrote the code of laws associated with Babylon?,Hammurabi,Cyrus,Pericles,Sargon,0,History,history,ancient,medium,The Code of Hammurabi is one of the most famous early legal texts.,Ancient law has issued a citation.,
The Peloponnesian War was fought mainly between Athens and which rival?,Thebes,Corinth,Sparta,Macedon,2,History,history,ancient,medium,Athens and Sparta were the leading rivals in the Peloponnesian War.,Greek history just facepalmed.,
Which empire built a road network stretching across much of South America before Spanish conquest?,Aztec,Inca,Maya,Olmec,1,History,history,ancient,medium,The Inca built an extensive road network through the Andes.,The Andes kept the receipt.,
Which battle in 1066 changed the leadership of England?,Battle of Hastings,Battle of Agincourt,Battle of Yorktown,Battle of Waterloo,0,History,history,world-wars,easy,William the Conqueror won the Battle of Hastings in 1066.,Wrong century and wrong battlefield.,
Which treaty officially ended World War I?,Treaty of Utrecht,Treaty of Versailles,Treaty of Tordesillas,Treaty of Paris,1,History,history,world-wars,easy,The Treaty of Versailles formally ended the state of war between Germany and the Allies.,Diplomats everywhere groaned softly.,
Which event brought the United States directly into World War II?,Battle of Midway,Pearl Harbor,D-Day,Fall of France,1,History,history,world-wars,easy,Japan's attack on Pearl Harbor led the U.S. to enter World War II.,That answer sank before it left port.,
What was the codebreaking center used by Britain during World War II?,Bletchley Park,Scotland Yard,Windsor Castle,Tower of London,0,History,history,world-wars,medium,Bletchley Park was Britain's famous wartime codebreaking center.,The cipher remains unbroken by you.,
Which wall fell in 1989 symbolizing the end of the Cold War in Europe?,Hadrian's Wall,Berlin Wall,Great Wall,Wall of Jericho,1,History,history,world-wars,easy,The fall of the Berlin Wall became a symbol of the Cold War ending.,History wanted a more solid answer.,
Who led the Soviet Union during much of World War II?,Lenin,Stalin,Khrushchev,Gorbachev,1,History,history,world-wars,easy,Joseph Stalin led the Soviet Union during the war.,The Politburo has concerns.,
Which conference in 1945 helped shape the postwar order and plans for the United Nations?,Yalta Conference,Congress of Vienna,Berlin Conference,Bandung Conference,0,History,history,world-wars,medium,Yalta helped shape the postwar order and future cooperation among Allies.,Diplomats marked that wrong in red.,
Who led the Indian independence movement through nonviolent civil disobedience?,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,Bhagat Singh,0,History,history,famous-figures,easy,Gandhi is most associated with nonviolent resistance in the independence movement.,That answer did not march with history.,
Which South African leader spent 27 years in prison before becoming president?,Desmond Tutu,Nelson Mandela,Thabo Mbeki,F W de Klerk,1,History,history,famous-figures,easy,Nelson Mandela became South Africa's first Black president after long imprisonment.,History noticed the miss.,
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Valentina Tereshkova,Sally Ride,Bessie Coleman,0,History,history,famous-figures,easy,Amelia Earhart achieved the solo transatlantic flight in 1932.,Aviation history flew past that answer.,
Which military leader became Emperor of the French in 1804?,Wellington,Napoleon Bonaparte,Robespierre,Louis XVI,1,History,history,famous-figures,easy,Napoleon crowned himself Emperor of the French in 1804.,Europe remembers this one clearly.,
Which civil rights leader delivered the I Have a Dream speech?,Malcolm X,Martin Luther King Jr,Rosa Parks,Frederick Douglass,1,History,history,famous-figures,easy,Martin Luther King Jr delivered the speech in Washington in 1963.,The microphone deserved better.,
Who discovered penicillin by accident in 1928?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,0,History,history,famous-figures,medium,Alexander Fleming observed penicillin's antibacterial effects in 1928.,Medical history prescribed a better guess.,
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,2,Geography,geography,capitals,easy,Canberra is the capital of Australia.,Australia would like a recount.,
What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa,0,Geography,geography,capitals,easy,Ankara is the capital while Istanbul is the largest city.,That answer stopped at the wrong city.,
What is the capital of Egypt?,Alexandria,Cairo,Giza,Luxor,1,Geography,geography,capitals,easy,Cairo is the capital of Egypt.,The Nile is still judging.,
What is the capital of Kenya?,Mombasa,Nairobi,Kampala,Dodoma,1,Geography,geography,capitals,easy,Nairobi is the capital of Kenya.,That guess needed a better map.,
What is the capital of Argentina?,Santiago,Buenos Aires,Lima,Cordoba,1,Geography,geography,capitals,easy,Buenos Aires is the capital of Argentina.,South America is disappointed.,
What is the capital of South Korea?,Busan,Seoul,Incheon,Daegu,1,Geography,geography,capitals,easy,Seoul is the capital of South Korea.,The peninsula was not impressed.,
What is the capital of Morocco?,Casablanca,Rabat,Marrakesh,Fez,1,Geography,geography,capitals,medium,Rabat is the capital city of Morocco.,That answer wandered through the souks.,
What is the capital of New Zealand?,Auckland,Wellington,Christchurch,Hamilton,1,Geography,geography,capitals,easy,Wellington is the capital of New Zealand.,The islands deserve a second look.,
What famous ancient city is located in Jordan and carved into rock?,Machu Picchu,Petra,Troy,Pompeii,1,Geography,geography,landmarks,easy,Petra is the famous rock-cut city in Jordan.,That guess got lost in the desert.,
Which mountain is the highest in Africa?,Kilimanjaro,Mount Kenya,Rwenzori,Atlas Peak,0,Geography,geography,landmarks,easy,Mount Kilimanjaro is the highest mountain in Africa.,The summit is still out of reach.,
Which desert is the largest hot desert in the world?,Gobi,Sahara,Arabian,Kalahari,1,Geography,geography,landmarks,easy,The Sahara is the largest hot desert on Earth.,That answer dried up quickly.,
Which waterfall lies between Zambia and Zimbabwe?,Victoria Falls,Niagara Falls,Kaieteur Falls,Yosemite Falls,0,Geography,geography,landmarks,medium,Victoria Falls is on the Zambezi River between Zambia and Zimbabwe.,That answer went over the edge.,
Which country is home to Machu Picchu?,Chile,Peru,Bolivia,Ecuador,1,Geography,geography,landmarks,easy,Machu Picchu is located in Peru.,The Andes are unconvinced.,
Which sea separates Saudi Arabia from Africa?,Black Sea,Red Sea,Caspian Sea,Aral Sea,1,Geography,geography,landmarks,medium,The Red Sea lies between northeast Africa and the Arabian Peninsula.,Geography drew a red line there.,
Which country contains the city of Dubrovnik?,Italy,Croatia,Greece,Albania,1,Geography,geography,landmarks,medium,Dubrovnik is a historic coastal city in Croatia.,The Adriatic sent back your guess.,
Which city is home to the Colosseum?,Athens,Rome,Milan,Naples,1,Geography,geography,landmarks,easy,The Colosseum is in Rome.,The empire expected a better tourist.,
What is 12 squared?,124,132,144,156,2,Maths,maths,mental-math,easy,12 times 12 equals 144.,That multiplication table deserves justice.,
What is 18 plus 27?,35,45,55,65,1,Maths,maths,mental-math,easy,18 plus 27 equals 45.,Arithmetic was not on your side.,
"If a pizza is cut into 8 equal slices and you eat 3 slices what fraction remains?",3/8,5/8,1/2,2/3,1,Maths,maths,mental-math,easy,Five of the eight slices remain so the fraction is 5/8.,Fractions would like another chance.,
What is 25 percent of 200?,25,40,50,75,2,Maths,maths,mental-math,easy,25 percent of 200 is 50.,The percentage sign scared that answer away.,
What is 9 times 7?,54,56,63,72,2,Maths,maths,mental-math,easy,9 multiplied by 7 equals 63.,Times tables are filing a complaint.,
"A train travels 60 km in 1 hour. At the same speed how far in 3 hours?",120,150,180,240,2,Maths,maths,mental-math,easy,At a constant speed of 60 km per hour the train covers 180 km in 3 hours.,That train left the station without you.,
"What is the result of 3/4 plus 1/4?",1/2,1,3/4,2,1,Maths,maths,mental-math,easy,Three quarters plus one quarter equals one whole.,Fractions were simpler than that guess.,
What is 20 percent of 150?,20,25,30,35,2,Maths,maths,mental-math,medium,20 percent of 150 is 30.,Percentages deserve a calmer answer.,
"If a number is even and divisible by 5 which of these could it be?",13,22,35,40,3,Maths,maths,number-patterns,easy,40 is even and divisible by 5.,Patterns were present but ignored.,
"What comes next in the pattern 5 10 20 40 ?",45,60,70,80,3,Maths,maths,number-patterns,easy,Each number doubles so 40 becomes 80.,The pattern was doubling and your odds were halving.,
What is the next prime number after 11?,12,13,15,17,1,Maths,maths,number-patterns,easy,13 is the next prime after 11.,Prime numbers remain prime and your guess did not.,
"Which number does not belong 2 4 8 16 31 32?",16,31,32,4,1,Maths,maths,number-patterns,medium,The powers of two pattern should go 2 4 8 16 32 so 31 does not belong.,That pattern escaped the scene.,
"What comes next in the sequence 1 1 2 3 5 8 ?",10,11,12,13,3,Maths,maths,number-patterns,medium,This is the Fibonacci sequence so the next term is 13.,The sequence kept moving without you.,
"What is the missing number 3 6 11 18 27 ?",34,36,38,40,2,Maths,maths,number-patterns,medium,The differences are +3 +5 +7 +9 so the next is +11 which makes 38.,The pattern wrote itself and still got ignored.,
What is the next triangular number after 10?,12,14,15,16,2,Maths,maths,number-patterns,medium,Triangular numbers go 1 3 6 10 15 and so on.,Geometry quietly judged that.,
What is 7 cubed?,294,313,343,357,2,Maths,maths,number-patterns,medium,7 cubed equals 343.,Cubes are apparently sharp tonight.,
What has keys but cannot open locks?,Map,Piano,Clock,Bottle,1,Puzzles,puzzles,riddles,easy,A piano has keys but cannot open locks.,The riddle won that round.,
What has hands but cannot clap?,Robot,Clock,Statue,Mirror,1,Puzzles,puzzles,riddles,easy,A clock has hands but cannot clap.,Time is not on your side.,
"What can travel around the world while staying in one corner?",Shadow,Stamp,Wind,Needle,1,Puzzles,puzzles,riddles,medium,A stamp can travel globally while staying on an envelope corner.,Postage solved it before you did.,
What has a neck but no head?,Bottle,Shirt,Guitar,Candle,0,Puzzles,puzzles,riddles,easy,A bottle has a neck but no head.,That answer spilled everywhere.,
What has one eye but cannot see?,Needle,Cyclops,Storm,Lantern,0,Puzzles,puzzles,riddles,easy,A needle has one eye but cannot see.,Sewing trivia stitched you up.,
What has many teeth but cannot bite?,Comb,Saw,Zipper,Fork,0,Puzzles,puzzles,riddles,easy,A comb has many teeth but cannot bite.,That one combed right past you.,
What goes up but never comes down?,Smoke,Age,Balloon,Rain,1,Puzzles,puzzles,riddles,easy,Your age increases but does not go down.,Time itself just nodded.,
What has cities but no houses forests but no trees and rivers but no water?,Map,Globe,Book,Puzzle,0,Puzzles,puzzles,riddles,medium,A map contains all of those things symbolically.,Cartography sends its regards.,
"If two is company and three is a crowd what are four and five?",Nine,Two pairs,A team,A party,0,Puzzles,puzzles,logic,medium,Four and five are nine in this wordplay style question.,The crowd did not agree with that answer.,
"If you overtake the person in second place what place are you in?",First,Second,Third,Fourth,1,Puzzles,puzzles,logic,easy,If you pass the person in second place you take second place.,That trick question struck again.,
How many months have 28 days?,1,2,6,12,3,Puzzles,puzzles,logic,easy,Every month has at least 28 days.,The calendar would like a word.,
"A doctor gives you three pills and tells you to take one every half hour. How long will they last?",30 minutes,1 hour,90 minutes,2 hours,1,Puzzles,puzzles,logic,medium,You take one right away then another in 30 minutes and the last in 60 minutes total.,Medicine beat the math there.,
"Before Mount Everest was discovered what was the highest mountain in the world?",K2,Kangchenjunga,Mount Everest,Annapurna,2,Puzzles,puzzles,logic,easy,Everest was still the highest even before it was discovered.,That logic trap stayed hidden.,
"A plane crashes on the border of two countries. Where do they bury the survivors?",In the first country,In the second country,At the border,Nowhere,3,Puzzles,puzzles,logic,easy,You do not bury survivors.,That answer was a little too dramatic.,
How many sides does a circle have in this riddle style question?,Zero,One,Two,Four,2,Puzzles,puzzles,logic,medium,A circle has an inside and an outside in the riddle answer.,Geometry and wordplay teamed up on you.,
Which puzzle uses a 9 by 9 grid filled with digits?,Kakuro,Sudoku,Minesweeper,Crossword,1,Puzzles,puzzles,logic,easy,Sudoku uses a 9 by 9 grid with number constraints.,That grid stayed unsolved.,
Which country is home to the headquarters of the European Union's main institutions?,Belgium,Netherlands,Luxembourg,Germany,0,Geopolitics,geopolitics,world-powers,medium,Brussels in Belgium hosts many major EU institutions.,Diplomats sighed in unison.,
Which country has the largest economy by nominal GDP?,China,United States,Japan,Germany,1,Geopolitics,geopolitics,world-powers,easy,The United States has the largest nominal GDP.,The economists noticed that miss.,
The G7 is primarily a group of what?,Developing nations,Major advanced economies,Military alliances,Oil exporters,1,Geopolitics,geopolitics,world-powers,medium,The G7 groups several advanced industrial democracies.,That summit invite got lost.,
Which city hosts the headquarters of the United Nations?,Geneva,New York City,Paris,Vienna,1,Geopolitics,geopolitics,world-powers,easy,The UN headquarters is in New York City.,Global diplomacy has entered the chat.,
What does GDP stand for?,General Development Plan,Gross Domestic Product,Global Debt Position,Government Distribution Policy,1,Geopolitics,geopolitics,world-powers,easy,GDP stands for Gross Domestic Product.,The economists are taking notes.,
"Which country is a constitutional monarchy in Europe with a king as head of state?",Spain,Portugal,Austria,Switzerland,0,Geopolitics,geopolitics,world-powers,medium,Spain is a constitutional monarchy in Europe.,Politics class has feedback.,
Which organization manages the euro currency for eurozone monetary policy?,World Bank,European Central Bank,IMF,European Court of Justice,1,Geopolitics,geopolitics,world-powers,medium,The European Central Bank oversees eurozone monetary policy.,That policy brief went unread.,
Which country is both in Europe and Asia and controls the Bosporus Strait?,Turkey,Greece,Bulgaria,Romania,0,Geopolitics,geopolitics,world-powers,medium,Turkey spans Europe and Asia and controls the Bosporus.,Geography and geopolitics both objected.,
"Which type of government is ruled by a small group of powerful people?",Democracy,Oligarchy,Monarchy,Republic,1,Geopolitics,geopolitics,world-powers,medium,An oligarchy is rule by a small powerful group.,Politics class is taking attendance.,
A sanctions package usually aims to do what?,Increase tourism,Apply economic or political pressure,Provide military training,Create new borders,1,Geopolitics,geopolitics,global-conflicts,easy,Sanctions are used to pressure states entities or individuals.,Foreign policy made a note of that.,
A refugee according to common international usage is what?,A tourist without a visa,A person fleeing persecution or conflict across borders,An election observer,A foreign investor,1,Geopolitics,geopolitics,global-conflicts,easy,A refugee flees danger and crosses an international border.,That definition slipped through the border.,
Which term means a country avoids taking sides in a war?,Neutrality,Militarism,Federalism,Colonialism,0,Geopolitics,geopolitics,global-conflicts,easy,Neutrality means not supporting either side in a conflict.,That answer picked the wrong side.,
What is the main purpose of peacekeeping missions?,Start wars,Monitor and support peace agreements,Control elections permanently,Replace local governments,1,Geopolitics,geopolitics,global-conflicts,medium,Peacekeeping missions support ceasefires and fragile peace agreements.,The blue helmets expected better.,
What is a coup d'etat?,A trade agreement,A sudden seizure of power from a government,A climate accord,A court ruling,1,Geopolitics,geopolitics,global-conflicts,medium,A coup is the sudden overthrow or seizure of a government.,That answer staged its own collapse.,
What does a demilitarized zone usually mean?,An area for weapons testing,A region where military forces are restricted,An army training school,A naval alliance,1,Geopolitics,geopolitics,global-conflicts,medium,A demilitarized zone restricts military presence or activity.,The border map is disappointed.,
"Which body of water is central to disputes involving shipping routes and territorial claims among several Asian states?",Aral Sea,South China Sea,Dead Sea,Caspian Sea,1,Geopolitics,geopolitics,global-conflicts,medium,The South China Sea is a major site of competing maritime claims.,The map tried very hard there.,
What does humanitarian aid primarily focus on?,Election campaigns,Immediate support for people in crisis,Weapon sales,Corporate tax policy,1,Geopolitics,geopolitics,global-conflicts,easy,Humanitarian aid helps people affected by conflict disasters or famine.,That answer lacked compassion.,
